IP地址,端口,回源端口
111.246.33.197,20208,20208
36.228.99.9,18040,18040
36.237.138.52,443,443
36.238.197.68,443,443
36.238.194.129,443,443
219.85.28.200,11082,11082
1.171.77.59,12342,12342
36.235.10.207,18105,18105
36.238.212.12,443,443
36.238.192.153,443,443
220.143.23.107,443,443
36.237.137.235,443,443
61.224.2.18,12508,12508
61.230.223.86,12505,12505
61.223.205.117,12505,12505
114.39.140.109,18103,18103
108.165.145.187,12222,12222
1.164.110.65,12222,12222
220.143.22.61,443,443
1.165.247.178,30027,30027
36.238.212.59,443,443
36.238.212.60,443,443
36.230.205.76,19091,19091
36.228.133.221,19080,19080
27.105.97.186,18012,18012
35.206.225.247,40000,40000
35.206.201.0,40000,40000
35.206.192.61,40000,40000
35.206.196.185,40000,40000
35.206.218.82,40000,40000
122.118.149.249,2082,2082
36.237.210.16,22084,22084
111.249.253.35,8080,8080
112.104.97.9,10084,10084
36.231.0.93,21082,21082
61.228.159.38,18246,18246
36.236.213.130,10443,10443
114.36.229.48,20201,20201
1.34.36.66,12356,12356
111.246.45.191,2082,2082
36.237.150.131,443,443
36.238.212.40,443,443
36.238.212.54,443,443
111.246.45.191,2052,2052
118.160.192.45,10134,10134
122.117.62.178,10026,10026
61.224.116.137,2086,2086
111.246.45.191,2086,2086
111.249.219.12,8080,8080
36.238.195.46,443,443
36.229.7.93,4443,4443
220.228.144.160,3000,3000
220.228.144.159,3000,3000
36.229.7.93,18443,18443
220.143.28.155,443,443
61.224.67.244,2095,2095
111.246.21.11,2086,2086
218.187.64.32,2087,2087
36.225.33.88,4443,4443
36.238.211.93,443,443
114.32.101.131,65000,65000
36.232.151.129,18181,18181
36.228.128.6,10083,10083
35.206.240.170,80,80
35.206.205.207,443,443
35.206.240.170,80,80
35.229.254.165,8443,8443
36.238.197.93,443,443
36.237.147.251,443,443
220.143.31.82,443,443
36.238.206.230,443,443
114.34.106.124,18443,18443
36.238.216.88,443,443
36.237.136.226,443,443
36.238.196.1,443,443
